id,student_id,roll_no,first_name,last_name,email,branch,year,batch_id,batch_code,phone,address,date_of_birth,admission_year,current_semester,cgpa
fabf1f3c-8d99-41df-9a66-64c286cc8aaf,BITC20250001,2025CSE001,Bakhshi,Majumdar,student1@bitc.edu.in,CSE,1,187bc5d1-10f9-4a48-a3ca-2573725ceb3c,CSE-1-A,01516251076,"H.No. 52, Cheema Marg
Dindigul 313630",2005-07-25,2025,1,8.97
041b4706-b759-47cc-9a56-4d315ef2de53,BITC20250002,2025CSE002,Priya,Pradhan,student2@bitc.edu.in,CSE,1,187bc5d1-10f9-4a48-a3ca-2573725ceb3c,CSE-1-A,+911258296085,"H.No. 968, Chatterjee Circle, Eluru-597078",2002-10-19,2025,1,8.92
2544c083-b50d-47fb-b5a7-5e6520085761,BITC20250003,2025CSE003,Chandani,Shanker,student3@bitc.edu.in,CSE,1,187bc5d1-10f9-4a48-a3ca-2573725ceb3c,CSE-1-A,3250195087,"20/028, Tailor Chowk
Hospet 939870",2001-12-10,2025,1,7.7
2f64d8d3-859e-4692-9099-17fc4616f981,BITC20250004,2025CSE004,Lila,Kari,student4@bitc.edu.in,CSE,1,187bc5d1-10f9-4a48-a3ca-2573725ceb3c,CSE-1-A,4190423784,"H.No. 92, Hari Zila, Ambarnath 577611",2006-06-12,2025,1,6.7
4985e1bc-1309-4309-a2b1-eb10ddaddd6f,BITC20250005,2025CSE005,Fariq,Dasgupta,student5@bitc.edu.in,CSE,1,187bc5d1-10f9-4a48-a3ca-2573725ceb3c,CSE-1-A,+911473634603,"83/336
Chakraborty
Nandyal 458342",2007-06-17,2025,1,9.24
bd8cc81f-4ba7-410a-8360-9dde4fe80310,BITC20250006,2025CSE006,Anthony,Chandran,student6@bitc.edu.in,CSE,1,187bc5d1-10f9-4a48-a3ca-2573725ceb3c,CSE-1-A,4815316467,"H.No. 51, Sawhney Ganj
Sagar 905596",2006-03-29,2025,1,8.2
138cb3ca-7da1-4c26-bc37-38f06ecaef3c,BITC20250007,2025CSE007,Nisha,Ray,student7@bitc.edu.in,CSE,1,187bc5d1-10f9-4a48-a3ca-2573725ceb3c,CSE-1-A,2166555051,"811
Bajwa Path
Jalandhar 234368",2003-12-08,2025,1,8.65
b7605b88-dcb2-49a7-b212-acb22ed8ada2,BITC20250008,2025CSE008,Abhimanyu,Garg,student8@bitc.edu.in,CSE,1,aaa340e2-20c6-4205-88a6-a535fcfcfcb0,CSE-1-B,1831547120,"537
Nagi Nagar, Erode-188772",2002-10-23,2025,1,7.14
67d852de-86de-40f1-a123-d491e951b7ed,BITC20250009,2025CSE009,Laksh,Bassi,student9@bitc.edu.in,CSE,1,aaa340e2-20c6-4205-88a6-a535fcfcfcb0,CSE-1-B,8918204702,"347
Kala Path
Thane-935341",2006-04-28,2025,1,8.0
8ac92c6a-1c2f-4ec6-b277-fcf6e27e3bea,BITC20250010,2025CSE010,Prisha,Bhattacharyya,student10@bitc.edu.in,CSE,1,aaa340e2-20c6-4205-88a6-a535fcfcfcb0,CSE-1-B,05873611455,"12/690
Kunda Circle, Ajmer-533674",2005-08-28,2025,1,9.15
98a4b431-efa0-44f8-af8b-9ef690ba992c,BITC20250011,2025CSE011,Madhav,Sur,student11@bitc.edu.in,CSE,1,aaa340e2-20c6-4205-88a6-a535fcfcfcb0,CSE-1-B,6048132623,"H.No. 78
Thaker Ganj
Orai-526809",2005-05-29,2025,1,8.43
d870118d-a065-44e5-bbd5-b2480603eabd,BITC20250012,2025CSE012,Charles,Rau,student12@bitc.edu.in,CSE,1,aaa340e2-20c6-4205-88a6-a535fcfcfcb0,CSE-1-B,4967041722,"26/268
Dhar Nagar
Warangal-795233",2004-05-18,2025,1,6.93
4fb4967a-832a-4a7d-a00c-620669514c8e,BITC20250013,2025CSE013,Nirja,Nazareth,student13@bitc.edu.in,CSE,1,aaa340e2-20c6-4205-88a6-a535fcfcfcb0,CSE-1-B,2174942892,"20/738
Tank Zila
Tirupati 046846",2007-07-19,2025,1,6.92
